setup,ticker,signal_date,age,entry_zone,stop,target_2R,target_mid,risk_per_sh,qty,notional,rs,rsi,max_chase,gate,action,logged_at
BB_REV,ADANIGREEN,2026-08-20,1,1301.8,1243.3,1418.7,1357.8,58.5,115,149707,83,33.4,1321.3,CLOSED,WATCH,2026-08-23T11:50:04
BB_REV,BSE,2026-08-21,0,3241.0,3083.2,3556.7,3476.7,157.8,46,149086,71,31.9,3293.6,CLOSED,WATCH,2026-08-23T11:50:04
BB_REV,CUMMINSIND,2026-08-21,0,5107.5,4917.2,5488.0,5399.5,190.3,29,148117,75,31.9,5170.9,CLOSED,WATCH,2026-08-23T11:50:04
BB_REV,GMRAIRPORT,2026-08-20,1,100.4,96.8,107.6,104.9,3.6,1493,149912,55,32.3,101.6,CLOSED,WATCH,2026-08-23T11:50:04
PULLBACK,LAURUSLABS,2026-08-20,1,1825.0,1736.9,2001.2,,88.1,82,149650,98,65.2,1844.6,CLOSED,WATCH,2026-08-23T11:50:04
PULLBACK,NAM_INDIA,2026-08-20,1,1232.5,1146.5,1404.6,,86.0,104,128180,90,60.4,1249.8,CLOSED,WATCH,2026-08-23T11:50:04
PULLBACK,POWERINDIA,2026-08-21,0,34190.0,31531.2,39507.7,,2658.8,3,102570,91,52.7,34780.9,CLOSED,WATCH,2026-08-23T11:50:04
PULLBACK,VEDL,2026-08-21,0,279.0,259.5,318.0,,19.5,461,128619,92,56.2,282.7,CLOSED,WATCH,2026-08-23T11:50:04
TIER2(HDFCBANK +5.7%),ICICIBANK,2026-08-21,0,1420.0,1373.8,1512.5,,46.2,105,149100,38,50.4,1430.3,CLOSED,WATCH,2026-08-23T11:50:05
TIER2(LT +6.3%),BEL,2026-08-21,0,414.0,398.8,444.3,,15.2,362,149868,49,60.3,417.4,CLOSED,WATCH,2026-08-23T11:50:05
TIER2(LT +6.3%),HAL,2026-08-21,0,5000.0,4756.4,5487.1,,243.6,30,150000,51,66.4,5054.1,CLOSED,WATCH,2026-08-23T11:50:05
